id;job_title;min_salary;max_salary;state
1;Dynamic Operations Associate;36593;95887;LOST
2;Direct Configuration Developer;96146;60283;UNDEFINED
3;Corporate Response Coordinator;60450;75953;OK
4;Dynamic Solutions Architect;3530;36232;UNDEFINED
5;Investor Quality Architect;16948;15212;AWAY
6;Legacy Program Consultant;9604;77867;LOST
7;Internal Identity Coordinator;108;50373;LOST
8;District Implementation Director;19721;43568;UNDEFINED
9;Internal Data Associate;42838;34575;EXPECTED
10;Central Integration Manager;63091;88722;LOST
